LINK,PMCID,Plant,Compound,TPS nomenclature,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/,PMC8318001,Phalaenopsis bellina,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278605/,PMC8278605,Apostasia ramifera,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/,PMC8255067,Cinnamomum camphora,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/ ,PMC8248349,Antirrhinum majus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8212831/ ,PMC8212831,Datura stramonium,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/ ,PMC8222033,Solanum habrochaites,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213826/ ,PMC8213826,Rosa rugosa,not mentioned,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8153298/ ,PMC8153298,Anthurium,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/ ,PMC8224800,Rice.,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8148558/ ,PMC8148558,Mentha canadensis,table,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166937/ ,PMC8166937,Morinda officinalis,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147058/ ,PMC8147058,apple_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8110574/ ,PMC8110574,Corymbia citriodora,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8101708/ ,PMC8101708,Dendrobium officinale,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8087695/ ,PMC8087695,Camellia sinensis,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8066702/ ,PMC8066702,Mentha longifolia,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8061277/ ,PMC8061277,Arecaceae,Yes,Yes,
https://doi.org/10.1016/j.plantsci.2020.110549 ,AGR: IND606995189,Ficus carica,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7982956/ ,PMC7982956,Citrus sinensis_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968207/ ,PMC7968207,Zea mays,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952643/ ,PMC7952643,Solanum lycopersicum,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952619/ ,PMC7952619,Hedychium coronarium,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923825/ ,PMC7923825,,not mentioned,Yes,bacteria
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917091/ ,PMC7917091,Lavandula angustifolia,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917104/ ,PMC7917104,Magnolia biondii Pamp,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890116/ ,PMC7890116,Artemisia annua,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/ ,PMC7890063,,Yes,Yes,mushroom
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7916813/ ,PMC7916813,Zanthoxylum_bungeanum,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7861536/ ,PMC7861536,citrus,Yes,not mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/ ,PMC7866031,Populus trichocarpa,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/ ,PMC7815096,,Yes,Yes,Heliconius_butterflies
https://doi.org/10.1016/j.jplph.2020.153358 ,PMID: 33453433,Albizia julibrissin,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/ ,PMC7826640,,Yes,Yes,Selaginella moellendorffii
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794574/ ,PMC7794574,Passiflora edulis,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/ ,PMC7705728,Daucus carota,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724791/ ,PMC7724791,Tanacetum vulgare,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/ ,PMC7698779,Freesia hybrida,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/ ,PMC7696289,Stevia rebaudiana,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591569/ ,PMC7591569,Prunus persica,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7552398/ ,PMC7552398,,Yes,Yes,beetle Agasicles hygrophila
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582308/ ,PMC7582308,Dendrobium officinale,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7459318/ ,PMC7459318,Vitis vinifera,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484799/ ,PMC7484799,,Yes,Yes,M. larici-populina
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504178/ ,PMC7504178,Spearmint,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7465836/ ,PMC7465836,Cucumis_sativus,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/ ,PMC7419205,Chimonanthus praecox,Yes,Yes,
https://doi.org/10.1016/j.plantsci.2020.110549 ,PMID: 32771161,Ficus carica,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7432446/ ,PMC7432446,Dendrobium officinale,Yes,Yes,
https://doi.org/10.1093/pcp/pcaa100 ,PMID: 32726442,Lathyrus odoratus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/ ,PMC7417412,Poaceae,not mentioned,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/ ,PMC7332032,Plectranthus amboinicus,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/ ,PMC7356763,Chimonanthus praecox,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ ,PMC7293187,Cinnamomum burmannii,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ ,PMC7305226,Daucus carota_,Yes,Yes,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7352595/ ,PMC7352595,Pseudotaxus chienii,not mentioned,Yes,
