,PMCID,Plant,Compound,TPS nomenclature,,,,,,LINK
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/PMC8318001,PMC8318001,Phalaenopsis bellina,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/ ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278605/PMC8278605,PMC8278605,Apostasia ramifera,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278605/ ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278605/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/PMC8255067,PMC8255067,Cinnamomum camphora,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/ ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/ PMC8248349,PMC8248349,Antirrhinum majus,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8212831/ PMC8212831,PMC8212831,Datura stramonium,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8212831/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8212831/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/ PMC8222033,PMC8222033,Solanum habrochaites,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213826/ PMC8213826,PMC8213826,Rosa rugosa,not mentioned,not mentioned,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213826/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213826/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8153298/ PMC8153298,PMC8153298,Anthurium,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8153298/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8153298/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/ PMC8224800,PMC8224800,Rice.,Yes,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8148558/ PMC8148558,PMC8148558,Mentha canadensis,table,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8148558/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8148558/ 
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166937/ PMC8166937,PMC8166937,Morinda officinalis,not mentioned,Yes,,[PMC](https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166937/  ),, ),[PMC](,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166937/ 
