,metadata_json,PMCIDS,keywords,TPS_match,terms
0,/Users/sagar/Desktop/me/corpus/tps_plant/PMC6020762/eupmc_result.json,PMC6020762,"Amomum villosum', 'Bornyl acetate', 'Transcriptomics', 'Volatile Terpenoids', 'Bornyl Diphosphate Synthase', 'Pinene Synthase'","Results AvTPS1 Produced Î±-Pinene and Î_-Pinene and Was Renamed as AvPS In order to further investigate if AvTPS1 could catalyze GPP to bornyl diphosphate, the dephosphorylation experiment was performed using alkaline phosphatase after reacting with GPP as substrate', ' The complete ORF (open reading frame) of AvTPS1 was 1803 bp, which encoded 600 amino acids with a predicted 42-amino-acid transit peptide on its N-terminal ( Figure   5, the red rectangular part)', ' The transit peptide of the monoterpene synthases often reduces the soluble protein expression, so the transit peptide of AvTPS1 was truncated', ' Briefly, SDS-PAGE showed that the recombinant protein of AvTPS1 fused with His and S-tag was about 84', ' In order to verify the AvTPS1 function, the AvTPS1 protein was incubated with GPP or FPP, and the reaction products were detected with GC-MS', ' With the substrate GPP, AvTPS1 produced two monoterpene compounds, i', ' AvTPS1 could not catalyze FPP to form products (data not shown)', ' Therefore, AvTPS1 was renamed as AvPS (pinene synthase)', ' AvTPS3 Produced Bornyl Diphosphate as Major Product and Was Renamed as AvBPPS The complete ORFs of AvTPS3 was 1791 bp, which encoded 596 amino acids with a predicted 25 amino acid transit peptide on its N-terminal ( Figure   5, the red rectangular part)', ' The AvTPS3 recombinant protein fused with His and S-tag was approximately 85', ' By using the similar reaction condition and GC-MS method as AvTPS1, AvTPS3 was found to catalyze GPP to produce three monoterpene compounds, camphene, limonene, and Î_-myrcene ( Figures   7B,D)', ' In order to investigate if AvTPS3 could catalyze GPP to bornyl diphosphate, the reacting productions of AvTPS3 with GPP and its negative control were treated with alkaline phosphatase and then analyzed by GC-MS', ' Therefore, we identified AvTPS3 as bornyl diphosphate synthase (AvBPPS) according to its most abundant product', ' AvPS (AvTPS1) and AvBPPS (AvTPS3) Localized in Chloroplast ChlorpP, WoLF PSORT, Predotar, and TargetP were used to predict AvTPS1 and AvTPS3â€™s subcellular localization', ' To confirm the subcellular localization of AvTPS1 and AvTPS3, pAN580-AvTPS1 and pAN580-AvTPS3 containing the complete ORFs and eGFP-tags were constructed and then transformed into protoplasts of  Nicotiana tabacum using a PEG-mediated method', ' The results showed that the green fluorescence of AvTPS1-eGFP and AvTPS3-eGFP were localized in plastid ( Figure   8), indicating that both AvPS and AvBPPS performed their catalyzing functions in plastid like other mono-TPSs from plants', ' villosum To investigate the correlation between the expression levels of  AvPS (AvTPS1) and  AvBPPS (AvTPS3) with monoterpene accumulation, qRT-PCR of  AvPS and  AvBPPS in seven tissues of  A', ' There might be other TPS that also produce pinene in the leaves of  A', ' Candidate TPS Genes Involved in Volatile Terpenoid Biosynthesis Monoterpenoids were the dominant volatile terpenoids in  A', ' The transcriptome data of five candidate mono-TPS genes and monoterpenoid data were integrated', ' According to the correlation networks for AvTPS1-AvTPS5 and 13 monoterpenoids ( Figure   5 and Supplementary Table  S11),  AvTPS3 was positively correlated with nine monoterpenoids, such as bornyl acetate, borneol, camphor, etc', ', suggesting that  AvTPS3 was likely responsible for the biosynthesis of these monoterpenoids', ' In addition,  AvTPS1 and  AvTPS5 were positively correlated with Î_-pinene and Î_-phellandrene', ' In order to mine more candidate TPS genes in  A', ' After analysis of unigenes was directly annotated by KEGG, seven mono-TPS unigenes with longer length and higher expression (RPKM) level were selected (Supplementary Table  S8)', ' Furthermore, the relevant mono-TPS and sesqui-TPS gene sequences from other plants were re-annotated to obtain candidate TPS genes; consequently, unigenes with longer length and higher expression level were selected (Supplementary Table  S9)', ' Finally, 10 candidate TPS genes from  AvTPS1 to  AvTPS10 were screened out ( Table   2)', ' The deduced amino acid sequences of  AvTPS1 to  AvTPS10 were shown in Supplementary Table  S10', ' Due to the diversity and specificity of terpenoids as â€˜specializedâ€™ metabolites in different plants, TPSs are defined as a mid-size family in the plant kingdom, which include eight subfamilies, from TPS-a to TPS-h; the TPSs responsible for the production of different and special terpenoids are diverse and specific as well ( Chen et al', ' In this study, the deduced amino acid sequences of 10 AvTPSs were aligned with sequences of already known TPSs from subfamily a-h (Supplementary Table  S3) ( Chen et al', ' AvTPS1, AvTPS2 and AvTPS3 were classified into the TPS-b subfamily, which is also specific to angiosperms and mono-TPSs or isoprene synthases, and many of the enzymes of the TPS-b group produce cyclic monoterpenes ( Chen et al', ' AvTPS4 and AvTPS5 were classified into TPS-g and TPS-d sub-family for mono-TPSs, respectively', ' AvTPS6, AvTPS7, and AvTPS8 were classified into TPS-a sub-family for sesqui-TPSs', ' Yet, AvTPS9 and AvTPS10 were classified into TPS-c sub-family for diterpene synthase', ' Because AvTPS1 (unigene 0137026) and AvTPS3 (unigene 0115960) have the complete ORFs, they were selected for further cloning and functional characterization primarily', ' The gene and deduced amino acid sequences of  AvTPS1 and  AvTPS3 have been submitted to GenBank with the accession number  MG431984 and  MG763230, respectively', ' Based on the alignment of amino acid sequences, AvTPS1 had the highest identity (87%) with TPS7 (AHJ57305', '1) from  Hedychium coronarium, while AvTPS3 showed highest identity (65%) with a mono-TPS (AHI46572', '1) from  Zingiber montanum; both of them had conserved mono-TPS domains, RRX 8W, RXR, DDXXD, and (N,D)D(L,I,V)X(S,T)XXXE(NSE/DTE) (Supplementary Figure  S3)', ' The motifs DDXXD and NSE/DTE are responsible for metal ion binding and substrate ionization, representing TPS-b class characters', ' In addition, AvTPS1 and AvTPS3 shared 57% identity'",terpene synthase
1,/Users/sagar/Desktop/me/corpus/tps_plant/PMC6941427/eupmc_result.json,PMC6941427,"Secondary metabolites', 'Camellia sinensis', 'Transcriptome', 'Long Non-coding Rnas', 'Withering'"," We also conducted qRT-PCR analyses to determine the expression levels of the following lncRNAs involved in the terpenoid metabolic pathway and the JA/MeJA biosynthesis and signal transduction pathway: LTCONS_00093140 (targeting  DXS), LTCONS_00012676 (targeting  CMK), LTCONS_00002173 (targeting  HDS), LTCONS_00078708 (targeting  HDR), LTCONS_00039845 (targeting  GGPPS), LTCONS_00025739 (targeting  AACT), LTCONS_00091745 (targeting  MVK), LTCONS_00092790 (targeting  PMK), LTCONS_00043160 (targeting  TPS), LTCONS_00040667 (targeting  LOX), LTCONS_00087608 (targeting  AOS), LTCONS_00035664 (targeting  AOC), LTCONS_00032547 (targeting  OPR), LTCONS_00064473 (targeting  ACX), LTCONS_00087182 (targeting  ACX), and LTCONS_00061187 (targeting  MFP2)', ' Unlike the  DXR ( 1- deoxy- d- xylulose 5- phosphate reductoisomerase),  MCT ( 2- C- methyl- d- erythritol 4- phosphate cytidylyltransferase),  CMK ( 4- diphosphocytidyl- 2- C- methyl- d- erythritol kinase),  GPPS ( geranyl diphosphate synthase),  PMK ( phosphomevalonate kinase),  MDC ( mevalonate pyrophosphate decarboxylase), and  FPS ( farnesyl diphosphate synthase) gene families, the following 11 gene families comprised more than two DEGs:  DXS ( 1- deoxy- d- xylulose- 5- phosphate synthase),  MDS ( 2- C- methyl- d- erythritol 2,4- cyclodiphosphate synthase),  HDS ( 4- hydroxy- 3- methylbut- 2- enyl- diphosphate synthase),  HDR ( 4- hydroxy- 3- methylbut- 2- enyl- diphosphate reductase),  IDI ( isopentenyl diphosphate isomerase),  GGPPS ( geranylgeranyl diphosphate synthase),  AACT ( acetyl- CoA C- acetyltransferase),  HMGS ( hydroxymethylglutaryl- CoA synthase),  HMGR ( hydroxymethylglutaryl- CoA reductase),  MVK ( mevalonate kinase), and  TPS ( terpene synthase)', ' A subsequent analysis revealed that  GGPPS and  TPS are regulated by three lncRNAs, whereas four genes ( DXS,  CMK,  AACT, and  PMK) are targeted by only one lncRNA ( Supplementary Figure S6)'",terpene synthase
2,/Users/sagar/Desktop/me/corpus/tps_plant/PMC6102311/eupmc_result.json,PMC6102311,NaN," Functional characterization of CsiTPS8 As mentioned above, we found that the amino acid sequence of  Camellia sinensis CsiTPS8 was quite similar to that of ChTPS1 (ChTPS1a) (Fig', ' CsiTPS8 had only one amino acid substitution R477H, which located in the loop structure (Supplementary Fig', ' Since the product of CsiTPS8 was not reported in the NCBI database, we prepared a substituted construct encoding ChTPS1 variant R477H, which has the same amino acid sequence with that of CsiTPS8, and analyzed the product extracted from the transformed  E', ' We consequently found that the products of ChTPS1 (R477H) were the same as that of ChTPS1, and the primary product was valerianol (Supplementary Fig', ' The product amounts of the R477H clone averaged 40 percent increase in comparison with that of ChTPS1 (Supplementary Fig', ' Structure-activity relationship studies of  ChTPS1 The plausible 3D structural model of ChTPS1 was built by SWISS-MODEL 40 using the pdb of Tobacco 5-epi-aristolochene synthase 16 as the template', ' Then the ChTPS1 3D model was applied to predict the effect of amino acid substitutions (Supplementary Table\xa0 S2)', ' Supplementary Table\xa0 S2 summarized these effects of substitutions in the ChTPS1 clones', ' Intriguingly, ChTPS1 clones contained 4 substitutions in the loops and 2 of them showed characteristic changes of the enzyme activity', ' And the Î±-helices (483â€“493) is forming the hydrophobic interaction with the next Î±-helices (440â€“461) containing one of the the TPS-conserved motifs (Supplementary Fig', ' Phylogenetic analysis of  ChTPS1 The ChTPS1 protein was analyzed phylogenetically by comparison with known plant TPSs registered in the NCBI database (Fig', ' TPS proteins derived from the same plant species or family tended to fall into the same clade, except for Poplar TPSs', ' ChTPS1 was phylogenetically positioned with the TPSs of other  Camellia species in a sole-gene clade', ' The amino acid sequence of  Camellia sinensis TPS8 (CsiTPS8) was quite similar to that of ChTPS1 and had only one amino acid substitution (R477H) except for the N-terminal extension', ' CbTPS1, which we have isolated and reported as hedycaryol synthase recently 30, was also similar to ChTPS1, and 9 amino acid substitutions existed (Supplemental Fig', '  coli together with plasmid pAC-Mev/Scidi/Aacl 36, and the amount of TPS products was compared (mentioned below)', ' Therefore, we designated this clone as  ChTps1 and the encoded protein as ChTPS1', '\xa0 S2 shows the alignment of ChTPS1 and other TPS amino acid sequences isolated by our group', ' ChTPS1 consisted of 554 amino acids (aa) with a calculated molecular mass of 64', ' No transit peptide was found at the N-terminus of the ChTPS1 protein by the iPSORT 37 prediction', '  sinensis, which has CsiTPS8, we expected that one of the unknown compounds in tea is valerianol', ' Functional characterization of  ChTPS1 and its paralogs in the mevalonate-pathway-engineered  E', ' Thus, we focused on three new distinct peaks (Peaks 1, 2, and 3) that were considered to be the ChTPS1 (ChTPS1a) products', ' We then mixed authentic guaiol with the ChTPS1 products, and carried out GC-MS analysis', ' These results indicated that ChTPS1 synthesizes valerianol as the predominant product', ' In order to check whether Peak 1 was elemol or not, we mixed authentic elemol with the ChTPS1 products, and carried out GC-MS analysis', ' The product amounts of all ChTPS1 substitution clones were less than ChTPS1 (ChTPS1a) (Fig', '\xa0 4), Peaks 1 and 3 were the third and second largest abundant products, respectively, in ChTPS1a, b, c, and e', ' As for the ChTPS1f product, the second and third most abundant products were in reverse order', ' These two sesquiterpenes were contained equally in the product of ChTPS1g', ' As for ChTPS1d, no TPS product was observed', ' These differences in each ChTPS1 product amount were attributed to the differences in amino acid sequences (Table\xa0 1)', ' For example, Peak 2 valerianol amounts of ChTPS1c and f were almost the same, but the Peak1 hedycaryol amount of ChTPS1f was about 4 times higher than that of ChTPS1c (Fig', ' This difference in the ChTPS1f enzyme activity was induced by the single amino acid substitution K541N (Table\xa0 1)', ' ChTPS1g and d have a similar amino acid sequence except for a deletion from the 396 to 430 amino acid region of ChTPS1d (Table\xa0 1), which was the cause of inactivation (Fig'",NaN
3,/Users/sagar/Desktop/me/corpus/tps_plant/PMC4625925/eupmc_result.json,PMC4625925,NaN,"Results PtTPS17- 20 are differentially expressed in poplar To furthermore characterize the  CPS and  KS(L) synthase genes, we measured their transcript abundance in leaf buds, leaves, stems and roots of  P', ' The highest gene expression of  PtTPS17 and  PtTPS19/20 was found in roots, showing about 3500-fold and 20-fold higher expression, respectively, compared to leaves', ' A quite strong transcript accumulation was also found for  PtTPS17 in the stem (about 50-fold higher compared to leaves) and for  PtTPS19/20 in leaf buds and stems (about 8-fold and 5-fold higher, respectively, compared to leaves)', ' While  PtTPS17 and  PtTPS19/20 expression levels varied between the different poplar organs,  PtTPS18 showed a similar expression in leaf buds, stems and roots with about 10-fold higher transcript abundance compared to leaves (Fig', ' The smaller c q-values for  PtTPS19/20 in comparison to those from  PtTPS17/18 indicate that  PtTPS19/20 were in general more strongly expressed than  PtTPS17 and  PtTPS18 (Additional file  1: Table S1)', '4\xa0%, it was not possible to distinguish between  PtTPS19 and  PtTPS20 in the qRT-PCR', ' However, repeated sequencing of cloned qRT-PCR products revealed that  PtTPS20 was not present in leaf buds, only slightly expressed in leaves (15', ' Since it is known that herbivory often induces the expression of terpene synthase genes involved in plant defense  21,  27, we measured the transcript accumulation of  PtTPS17/19/20 in undamaged and herbivore-damaged poplar leaves to investigate a putative role for these genes in defense against caterpillars', ' However, the qRT-PCR results showed that gene expression of  PtTPS17/19/20 was not upregulated after herbivory by  Lymantria dispar, a generalist caterpillar feeding on poplar', ' In contrast,  PtTPS19/20 transcript accumulation was slightly down regulated after herbivore damage (Fig', ' Poplar possesses two putative copalyl diterpene synthase genes ( CPS) and two putative kaurene synthase (like)- ( KS(L)) genes The close association of  PtTPS19 and  PtTPS20 on chromosome 8 and their high sequence similarity of 99', ' The encoded proteins belong to the TPS-e family (Fig', '\xa0 1) and contain sequence motifs important for the activity of class I TPS enzymes, like the DDxxD motif and the NSE/DTE motif for the metal ion-dependent ionization of the prenyl diphosphate substrate (Fig', ' The proteins are most likely monofunctional enzymes as none of them contained both class I and class II TPS features (Fig', ' Besides the recently characterized geranyllinalool synthase gene  PtTPS10, the poplar genome contains four additional genes (Potri', '008G082700 from a cDNA pool attained from leaf buds, leaves, stems, and roots of  Populus trichocarpa and the open reading frames obtained were designated  PtTPS17,  PtTPS18,  PtTPS19, and  PtTPS20, respectively', ' PtTPS17 and  PtTPS18 share 89', ' The high sequence similarity and the chromosomal locations of  PtTPS17 and  PtTPS18 indicate their origin through the recent genome duplication event described for poplar  22', ' In a phylogenetic tree, the encoded proteins cluster together with characterized CPS proteins from other plants and are members of the TPS- c family (Fig', ' Sequence motifs characteristic for class II TPS enzymes and important for CPS activity, such as the DxDD motif responsible for the initial protonation of the double bond and the EDxxD-like motif that coordinates the Mg 2+ / diphosphate  13,  23, could be identified in both enzymes (Fig', ' A signal peptide prediction using different prediction programs revealed that PtTPS17, PtTPS18, PtTPS19, and PtTPS20 contain N-terminal transit peptides (Fig', ' PtTPS17 produces  ent-CPP and PtTPS19 and PtTPS20 have KS and KSL enzyme activity, respectively To determine the enzymatic function of the putative poplar CPS and KS(L) proteins, truncated versions lacking the predicted signal peptides but still containing the N-terminal SxYDTxW motif reported to be conserved in KS and CPS enzymes  25 were heterologously expressed in  Escherichia coli', ' Assays were conducted using crude enzyme extracts or purified protein and contained either the individual poplar proteins PtTPS17-20 or combinations of those enzymes with the different CPS mentioned above', ' While no activity with GGPP could be observed for the putative KS(L) enzymes PtTPS19 and PtTPS20, neither alone nor in combinations with  syn-CPS or  n-CPS, diterpene product formation occurred when these enzymes were fed with GGPP in the presence of an  ent-CPS', ' PtTPS19 converted  ent-CPP into  ent-kaurene and PtTPS20 converted this intermediate into 16Î±-hydroxy- ent-kaurane (86\xa0%) and smaller amounts of  ent-kaurene (8\xa0%) and  ent-isokaurene (6\xa0%) (Fig', ' When PtTPS17 was incubated with GGPP, copalol was detected, as a result of the dephosphorylation of CPP', ' A comparison of the retention time of the copalol formed with those of authentic standards revealed that PtTPS17 produced either  ent-CPP or  normal-CPP (Additional file  1: Figure S2)', ' However, the fact that PtTPS17 was able to support diterpene product formation when coupled with PtTPS19 or PtTPS20 confirmed that the enzyme mediated the formation of  ent-CPP', ' Supplying PtTPS17 with different concentrations of Mg 2+ did influence enzyme activity, with  ent-CPP formation being higher at lower cofactor concentrations (Fig', ' Despite the high sequence similarity to PtTPS17, no enzyme activity, neither with GGPP alone nor in combination with other CPS or KS, could be observed for PtTPS18 (Fig', ' One amino acid determines the product specificity of PtTPS19 and PtTPS20 Although the PtTPS19 and PtTPS20 amino acid sequences were highly similar (99', ' While PtTPS19 produced exclusively the diterpene hydrocarbon  ent-kaurene, PtTPS20 mainly formed the diterpene-alcohol 16Î±-hydroxy- ent-kaurane (Fig', ' To identify amino acids responsible for product specificity, homology-based structure models of PtTPS19 and PtTPS20 were constructed', ' Both models showed the three-domain structure (Î_, Î_, and Î± domain) characteristic for the majority of plant DiTPS, with the catalytic site forming a deep pocket in the Î± domain (Fig', ' Only one amino acid differed in the active site of PtTPS19 compared to PtTPS20 (Fig', ' While a methionine residue was present at position 607 in PtTPS19, the smaller, more polar threonine was situated at this position in PtTPS20 (Fig', ' Exchanging threonine 607 of PtTPS20 for methionine changed the product output of PtTPS20 completely', ' Instead of quenching the beyeran-16-yl cation by adding a water molecule and thus producing 16Î±-hydroxy- ent-kaurane, as observed for the wild type PtTPS20, the mutant enzyme catalyzed a deprotonation of the  ent-kauranyl cation resulting in  ent-kaurene formation comparable to PtTPS19 (Fig', ' Vice versa , the exchange of methionine 607 into a threonine in PtTPS19 resulted in a mutant able to produce mainly 16Î±-hydroxy- ent-kaurane and smaller amounts of  ent-kaurene and  ent-isokaurene in similar ratios as described for PtTPS20 (Fig', ' The mutant PtTPS19 M 607A produced also mainly 16Î±-hydroxy- ent-kaurane', ' However, exchanging the respective threonine 607 for alanine in PtTPS20 did not alter product specificity in comparison to the wild type enzyme (Table\xa0 1)'",terpene synthase
4,/Users/sagar/Desktop/me/corpus/tps_plant/PMC7905068/eupmc_result.json,PMC7905068,"Saccharomyces cerevisiae', 'Cinnamomum burmanni', 'metabolic engineering', '(+)-Borneol', '(+)-Bornyl Diphosphate Synthase'","Results Functional Analysis of CbTPS1 The recombinant protein of CbTPS1 was expressed in  E', ' The purified CbTPS1 produced several monoterpenes ( Figure 4A)', ' CbTPS1 was further examined for its catalytic properties and the  Km value was 5', ' Improving the (+)-Borneol Yield by Tailored Truncations To obtain a higher (+) borneol titer, we engineered the CbTPS1 by further structure optimization', ' Thus, we truncated the chloroplast transit peptide according to the prediction of ChloroP 7; CbTPS1 was truncated at the C37 position in the N-terminus, and named t37-CbTPS1', ' The truncated t37-CbTPS1 showed a significant increase of (+)-borneol production to 1', ' Both amino acids at positions 10 (TCC) and 32 (TCA) of CbTPS1 are serine, which is the same as the amino acid encoded by UCU, so the codon corresponding to the truncated site was mutated to TCT to increase the (+) borneol titer, resulting in t10-CbTPS1 and t32-CbTPS1, respectively', ' The titer of truncated t10-CbTPS1 was 1', '33-fold higher than untruncated CbTPS1, and the titer of truncated t32-CbTPS1 was 72-fold higher than CbTPS1, up to 2', ' On the basis of truncation, yeast-specific Kozak sequence was added in front of START codon ATG of the codon-optimized CbTPS1 and three truncated proteins to increase (+)-borneol yield', ' The modified proteins were named CbTPS1K, t10-CbTPS1K, t32-CbTPS1K, and t37-CbTPS1K', ' The highest (+)-borneol titer was achieved in strain MD-6 containing t32-CbTPS1K, which is 96', '33-fold higher than that in the strain harboring wild-type CbTPS1, producing 2', ' It was further cloned using specific primers and annotated as CbTPS1', ' CbTPS1 has an open reading frame of 1,812 bp that encodes a 603-residue enzyme with a calculated molecular mass of 69', ' It was classified into the TPS-b subfamily, which contains three motifs of typical terpene synthases, namely the RRX 8W motif responsible for monoterpenoid cyclization ( Chen et al', ' Homologous alignment analysis showed that CbTPS1 shared highest sequence identities with SBS (41', ' Reconstituting the MVA Pathway in Yeast for (+)-Borneol Production When the codon-optimized CbTPS1 was overexpressed in yeast CEN', ' Then CbTPS1 was overexpressed in strain MD, and (+)-borneol was generated with a yield of 0'",terpene synthase
5,/Users/sagar/Desktop/me/corpus/tps_plant/PMC4041997/eupmc_result.json,PMC4041997,NaN," Transcript abundance of precursor genes is presented in Table\xa0 4 for comparison with the expression levels of the 13 terpene synthases (TPSs) found in stem trichomes Table\xa0 5)', ' SlMYC1 and SlWRKY73 can transactivate terpene synthase promoters in  Nicotiana benthamiana leaves SlMYC1 could transactivate all terpene synthase promoters tested except  SlTPS8', ' Transactivation of the trichome-specific  SlTPS5 and  SlTPS3 promoters was strongest (Figure\xa0 3b; 35S:RFP negative control shown in Additional file  1: Figure S2)', ' Therefore, transactivation by SlMYC1 of the trichome-specific  SlTPS9 promoter was potentially stronger than that detected here', ' In order to investigate whether these TFs could activate a selection of terpene synthase promoters, a transient assay in  Nicotiana benthamiana leaves was used, which has been previously shown to work for the interaction between the zinc finger-like transcription factor Expression of Terpenoids 1 (SlEOT1) and the  SlTPS5 promoter  47', ' In the reporter construct, expression of Î_-glucuronidase ( uidA, GUS) is driven by the glandular trichome-specific promoter of  SlTPS5', ' Co-infiltration with the 35S:SlEOT1 effector construct resulted in transactivation of the  SlTPS5 promoter, leading to GUS expression in this heterologous system (Figure\xa0 3)', ' Various other reporter constructs with promoters of other terpene synthases-  SlTPS3,  SlTPS7 and  SlTPS8- driving expression of GUS or a GUSsYFP1 fusion ( SlTPS9) were included in the analyses', ' As shown in Figure\xa0 3a, SlWRKY73 could transactivate the  SlTPS5 promoter, albeit to a lower extent than SlEOT1', ' SlWRKY73 transactivated the  SlTPS3 and  SlTPS7 promoters only weakly, and the  SlTPS8 and  SlTPS9 promoters not at all (35S:RFP negative controls shown in Additional file  1: Figure S2)', ' SlMYC1 and SlEOT1 act synergistically on the  SlTPS5 promoter in  N', ' benthamiana leaves Since SlEOT1, SlMYC1 and SlWRKY73 were shown in separate experiments to be able to transactivate the  SlTPS5 promoter (Figure\xa0 3), we investigated what effect a combination of these transcription factors would have on the transactivation of this promoter', ' To this end,  Agrobacterium cultures carrying the CaMV 35S-driven effector constructs were mixed in pairs or all three together and combined with the SlTPS5p: GUS reporter construct and infiltrated in  N', ' Interestingly, co-expression of SlEOT1 and SlMYC1 almost tripled the transactivation of  SlTPS5 promoter compared to the effect of each TF alone'",terpene synthase
6,/Users/sagar/Desktop/me/corpus/tps_plant/PMC8113424/eupmc_result.json,PMC8113424,"Plant growth regulators', 'HPLC', 'PCR', 'Southern blot', 'Zygotic embryo', 'Transgenic'","  TPS2 expression in transgenic plants Meanwhile, a PCR amplification of 465 bp  TPS2 gene was proved in putative transgenic herbs (Fig', ' Moreover, six putative transgenic plants approved by repeated PCR analysis were analyzed via DNA hybridization to indicate the additional combination of the  TPS2 gene into the genome of transgenic herbs'",NaN
7,/Users/sagar/Desktop/me/corpus/tps_plant/PMC5449406/eupmc_result.json,PMC5449406,NaN," OsTPS3 ( Os08g04500) catalyzes the formation of ( E)-Î_-caryophyllene, which is an active signal in attracting parasitic wasps 44,   45', ' OsTPS10 ( LOC_Os08g07100) produces sesquiphellandrene and ( E)-Î_-farnesene 45,   46', ' Transcript levels of  OsTPS10 were elevated dramatically in dsOW62/76 plants, whereas  OsTPS3, with high basal levels of expression, was slightly downregulated (Fig'",terpene synthase
8,/Users/sagar/Desktop/me/corpus/tps_plant/PMC7465836/eupmc_result.json,PMC7465836,"Promoter', 'Transcription factor', 'Cucumber', 'Cis-acting Regulatory Elements', 'Spider Mite'"," As we have particular interest in genes and pathways that are involved in biosynthesis of compounds within the herbivory-induced volatile blend that is of importance for attraction of natural enemies of spider mites, we focused on the expression profiles of a gene encoding a lipoxygenase (LOX) which may be involved in green leaf volatile  46, 47 and/or JA biosynthesis  48 and two genes encoding terpene synthases (TPS) that synthesize multiple mono- and sesquiterpenes and were found to be induced upon spider-mite feeding  44', ' Both spider mite-induced  TPSs closely co-expressed with each other and with a  bHLH, a  MYB and an  ERF ( p = 0', ' Furthermore, although not significantly, three other  MYBs, a  NAC, a  TFIIIC and a  TCP, co-expressed with both  TPS genes more than other TF genes ( p = 0', ' Motifs in Promoters of Defense-Related Genes The binding motifs in the promoter regions of spider mite-inducible  CsLOX,  CsTPS9 and spider mite-suppressed  CsUGT and  CsSUT were analyzed to obtain more hints for possible regulators', ' There were 32 non-redundant elements in the promoter of  CsLOX, 35 in the promoter of  CsTPS9, and 24 and 30 in the promoters of  CsUGT and  CsSUT, respectively ( Figure 6)', ' The promoters of the upregulated genes,  CsLOX and  CsTPS9, shared an AE-box, an MBS (MYB Binding Sites) and a motif with unknown function, while there was no common motif shared by the promoters of the downregulated  CsSUT and  CsUGT'",terpene synthase
9,/Users/sagar/Desktop/me/corpus/tps_plant/PMC5498564/eupmc_result.json,PMC5498564,NaN,,terpene synthase
