LINKS,PMCID,Plant,Compound,TPS nomenclature,blank means mentioned,,", "
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4757406/ ,PMC4757406,26 terpene synthases (TPSs) derived from four endophytic fungi,https://europepmc.org/article/MED/26885833#sec018,,fungus,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/ ,PMC7826640,8 SmMTPSLs contain two highly conserved motifs: ‘DDxxD’ and ‘NSD/DTE’,fig 4 5,Fig Supple S1 S2,Selaginella moellendorffii,Suppli,Characterization and Function of 8 Microbial Type TPS
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4347605/ ,PMC4347605,Achillea millefolium,AmGAS can potentially synthesize monoterpenes,,,NA,
https://doi.org/10.1104/pp.20.00186 ,PMID: 32184346,Actinidia chinensis,txt,txt,"AcTPS1b expression correlated with 1,8-cineole content in developing/ripening fruit",NA,Characterization of Volatile Terpene Production
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3295389/ ,PMC3295389,Actinidia chinensis,AcNES1 was acting as a (S)-(E)-nerolidol synthase,,,Suppli,
https://doi.org/10.1016/j.jplph.2020.153358 ,PMID: 33453433,Albizia julibrissin,"AjTPS2 produced _-farnesene and (Z, E)-_-farnesene","AjTPS7 produced _-ocimene, AjTPS9 produced _-terpinene and AjTPS10 produced linalool",,NA,Five TPSs produces volatile
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3346232/ ,PMC3346232,Alstroemeria,AlstroTPS encodes a monoterpene synthase with myrcene synthase,,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6020762/ ,PMC6020762,Amomum villosum,AvTPS1 catalyzed GPP to form _-pinene and _-pinene,AvTPS3 (AvBPPS: bornyl diphosphate synthase) produced bornyl diphosphate as major product and the other three monoterpenoids as minor products,,Suppli,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/ ,PMC8248349,Antirrhinum majus,snapdragon (Antirrhinum majus) nerolidol/linalool synthase-1 and -2 (AmNES/LIS-1/-2,"AmNES/LIS-2 produced linalool, AmNES/LIS-1 produce nerolidol",,Suppli,transiently co-expressed HMGR and DXS
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5122590/ ,PMC5122590,Arabidopsis,TPS20 produces a macrocyclic dolabellane diterpene alcohol and a dolabellane-related diterpene olefin named dolathaliatriene,,,Suppli,
https://doi.org/10.1105/tpc.112.100057 ,PMID: 23512856,Arabidopsis,TPS08 produces rhizathalene A,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3268506/ ,PMC3268506,Arabidopsis,TABLE 2,,table compounds and TPS,NA,
https://doi.org/10.1104/pp.110.154864 ,PMID: 20463089,Arabidopsis,,,,NA,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2687518/ ,PMC2687518,Arabidopsis lyrata,"AlCarS converts the sesquiterpene precursor, farnesyl diphosphate, into (E)-beta-caryophyllene",,,NA,
