LINKS,PMCID,Plant,,Keypoints,Keypoints,Keypoints,Compound,TPS nomenclature
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/,PMC8318001,Phalaenopsis bellina,Suppli,In planta,enzyme assay,Monoterpenes,su,ph
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8278605/,PMC8278605,Apostasia ramifera,Suppli,genome,,,not mentioned,ph su
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/,PMC8255067,Cinnamomum camphora,Suppli,analysis of the transcriptome and terpenoid metabolome,,monoterpene,su,ph su
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/ ,PMC8248349,Antirrhinum majus,Suppli,transiently co-expressed HMGR and DXS,,"bottlenecks for sesquiterpene engineering, terpene synthases were expressed under control of the ripening specific PG promoter in tomato fruits",,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8212831/ ,PMC8212831,Datura stramonium,Suppli,gene divergence,,,not mentioned,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/ ,PMC8222033,Solanum habrochaites,"Suppli, not",Introgression of the sesquiterpene biosynthesis,,,in fig ,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8213826/ ,PMC8213826,Rosa rugosa,Suppli,genome,,,not mentioned,ph su
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8153298/ ,PMC8153298,Anthurium,Suppli,profiles of volatile compounds,,,VOCs in table,AaTPS
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/ ,PMC8224800,Rice.,Suppli,Sesquiterpene Plays Roles in Antixenosis against Brown Planthopper,,,in suppl Sesquiterpenes ,OsSTPS2
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8148558/ ,PMC8148558,Mentha canadensis,"Suppli, not",Transcriptome Analysis and Monoterpenes,,,table,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8166937/ ,PMC8166937,Morinda officinalis,Suppli,genome,,,not mentioned,suppl
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8147058/ ,PMC8147058,apple ,Suppli,Transcriptome and metabolite profiling,,,in suppl,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8110574/ ,PMC8110574,Corymbia citriodora,Suppli,genome,,,not mentioned,fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8101708/ ,PMC8101708,Dendrobium officinale,Suppli,Analysis of Volatile Terpenoid Metabolism and Transcriptome,,,in fig,ph
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8087695/ ,PMC8087695,Camellia sinensis,Suppli,Genetic basis of high aroma and stress tolerance,,,useless in fig,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8087812/,PMC8087812,Camellia sinensis,,Integrated proteomic and metabolomic analyses,,,table,not mentioned
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8066702/ ,PMC8066702,Mentha longifolia,Suppli,Genome-Wide Analysis of Terpene Synthase,,,not mentioned,(Ph fig table txt)
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8061277/ ,PMC8061277,Arecaceae,Suppli,Evolution of isoprene emission in Arecaceae,evolution of IspS,,not mentioned,Ph fig
https://doi.org/10.1016/j.plantsci.2020.110549 ,AGR: IND606995189,Ficus carica,NA,Characterization of TPS in Ficus,,,in suppl S3,Ph fig Su
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7982956/ ,PMC7982956,Citrus sinensis ,Suppli,Engineered Orange Ectopically Expressing the Arabidopsis _-Caryophyllene Synthase,,,fig 4 5 7,AtTPS21
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968207/ ,PMC7968207,Zea mays,Suppli,Transcriptomic and volatile signatures associated with maize defense against corn leaf aphid.,,,table 2,suppl table5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952643/ ,PMC7952643,Solanum lycopersicum,Suppli,"A transcriptome analysis, volatile profile upon mite infestation",monoterpenoids' function in plant resistance,Monoterpenoid ,fig,Table 2a
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952619/ ,PMC7952619,Hedychium coronarium,Suppli,Genome-Wide Analysis Reveals the Potential Role of MYB Transcription Factors in Floral Scent Formation in Hedychium,,,Fig Supp Fig,txt
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7923825/ ,PMC7923825,,Suppli,Fermentative production of enantiopure (S)-linalool,,,not mentioned,not realy
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917091/ ,PMC7917091,Lavandula angustifolia,Suppli,,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7917104/ ,PMC7917104,Magnolia biondii Pamp,Suppli,genome,,,not mentioned,fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890116/ ,PMC7890116,Artemisia annua,Suppli,Patchoulol Biosynthesis,"co-expression of tpFPS and tpTPS targeting the chloroplast compartment, could significantly enhance the patchoulol accumulation",,not mentioned,fig 5
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/ ,PMC7890063,,Suppli,characterization of mushroom linalool synthases,,,fig 1 2,Ph fig 2 3
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7916813/ ,PMC7916813,Zanthoxylum bungeanum,Suppli,Transcriptome and Metabolome,Ash Fruit,,suppl,not mentioned
