LINKS,PMCID,Plant,Compound,TPS nomenclature,blank means mentioned,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8318001/,PMC8318001,Phalaenopsis bellina,PbTPS3 linalool/(_)-cis-ocimene synthase,PbTPS4 a linalool synthase,https://www.frontiersin.org/articles/10.3389/fpls.2021.700958/full#supplementary-material,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8255067/,PMC8255067,Cinnamomum camphora,"3 monoterpene synthase genes (CcTPS1, CcTPS3, CcTPS4) highly correlated with D-borneol, camphor, and bornyl acetate",ph supple,https://europepmc.org/article/MED/34249483#supplemental-information,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8248349/ ,PMC8248349,Antirrhinum majus,snapdragon (Antirrhinum majus) nerolidol/linalool synthase-1 and -2 (AmNES/LIS-1/-2,"AmNES/LIS-2 produced linalool, AmNES/LIS-1 produce nerolidol",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8222033/ ,PMC8222033,Solanum habrochaites,"Z-prenyltransferase (zFPS) and Santalene and Bergamotene Synthase (SBS), which produce _-santalene, _-bergamotene, and _-bergamotene in LA1777",txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8224800/,PMC8224800,Rice.,_-farnesene (EBF) is the major product of the OsSTPS2 gene.,,https://europepmc.org/articles/PMC8224800/bin/plants-10-01049-s001.zip,
https://doi.org/10.1016/j.plantsci.2020.110549 ,AGR: IND606995189,Ficus carica,"FcTPS6 catalyzing the formation of 1,8-cineole, germacrene D (FcTPS1), E-_-caryophyllene (FcTPS2), cadinene (FcTPS3) and _-elemene (FcTPS5) while one sesquiterpene synthase FcTPS4 from the TPS-b clade showed nerolidol synthase",Ph fig Supple,Supple S3,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7982956/,PMC7982956,Citrus sinensis ,fig 4 5 7,AtTPS21,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7968207/,PMC7968207,Zea mays,"TPS23 controlls (E)-_-caryophyllene,  TPS2 and TPS3, related to linalool synthesis",supple table5,table 2,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7952643/ ,PMC7952643,Solanum lycopersicum,"TPS5, TPS7, and TPS19/20, encoding enzymes that synthesize linalool, _-myrcene, limonene, and _-phellandrene were highly expressed in the resistant",Table 2a,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7890063/ ,PMC7890063,,fig 1 2,Ph fig 2 3,mushroom,https://europepmc.org/article/MED/33597725#id443454
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7866031/ ,PMC7866031,Populus trichocarpa,"(1S,5S,7R,10R)-guaia-4(15)-en-11-ol and (1S,7R,10R)-guaia-4-en-11-ol, (1S,5S,7R,10R)-guaia-4(15)-en-11-ol, (1S,7R,10R)-guaia-4-en-11-ol, hedycaryol",PtTPS5,https://europepmc.org/article/MED/33494506#app1-molecules-26-00555,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7815096/ ,PMC7815096,HmelOS produces (E)-_-ocimene,fig 3,Fig Supple,Heliconius butterflies,
https://doi.org/10.1016/j.jplph.2020.153358 ,PMID: 33453433,Albizia julibrissin,"AjTPS2 produced _-farnesene and (Z, E)-_-farnesene","AjTPS7 produced _-ocimene, AjTPS9 produced _-terpinene and AjTPS10 produced linalool",,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7826640/ ,PMC7826640,,fig 5,Fig Supple S1 S2,Selaginella moellendorffii,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7794574/ ,PMC7794574,Passiflora edulis,Supple table,Fig 5 Supple Fig17,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7705728/ ,PMC7705728,Daucus carota,Supple S1,txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7724791/ ,PMC7724791,Tanacetum vulgare,Supple Table S1 S2,Ph Fig S4,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7698779/ ,PMC7698779,Freesia hybrida,Table 2,txt fig 4,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7696289/ ,PMC7696289,Stevia rebaudiana,S1,Ph Fig S2,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7591569/ ,PMC7591569,Prunus persica,Table 3 Suppl,txt,NO LABLE Supple,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7582308/ ,PMC7582308,Dendrobium officinale,,S2,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7484799/ ,PMC7484799,Melampsora ,Fig 4c e,Table1 Ph Fig 5,M. larici-populina,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7504178/ ,PMC7504178,Spearmint,Fig & table,txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7419205/ ,PMC7419205,Chimonanthus praecox,S17 S18 Suppl note1,Fig 5 Table S10 S19,,
https://doi.org/10.1016/j.plantsci.2020.110549 ,PMID: 32771161,Ficus carica,,,,
https://doi.org/10.1093/pcp/pcaa100 ,PMID: 32726442,Lathyrus odoratus,,,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7417412/ ,PMC7417412,Poaceae,Table 1 Fig 3 4,Fig 1 5 Table 1,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7332032/ ,PMC7332032,Plectranthus amboinicus,Table 1 Fig 3 4,Fig 5,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356763/ ,PMC7356763,Chimonanthus praecox,Fig 6 7 8 9,txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7293187/ ,PMC7293187,Cinnamomum burmannii,S4 S19,Fig S2 Data S17,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7305226/ ,PMC7305226,Daucus carota ,Fig 1 4 5 Suppl,Table 1 Ph Fig 2 Supple,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7321343/ ,PMC7321343,Vitis,Table S1 Fig S3,txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7497057/ ,PMC7497057,Setaria italica,Fig 2 3 4 6 7,Fig 1a 8 S1 S2,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7180759/ ,PMC7180759,Clematis florida,Fig 1 2 Table 1,Fig 4 5 6 7,table,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7125107/ ,PMC7125107,Litsea cubeba,Supple Table 18 29,Fig 5 Supple Table 30 31 33,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7154873/ ,PMC7154873,Salvia hispanica,txt,Ph Fig 6,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7062797/ ,PMC7062797,Camellia sinensis,Fig 6,Fig 5,,
https://doi.org/10.1104/pp.20.00186 ,PMID: 32184346,Actinidia chinensis,txt,txt,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7072466/ ,PMC7072466,Camellia sinensis,Table 3,Fig 5D,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6976640/ ,PMC6976640,Camellia sinensis,Fig 4 6,Ph Fig 2 3 5 Table 1 supple table S2 S3,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7013532/ ,PMC7013532,Camellia sinensis,Fig 6,Fig 5,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7422722/ ,PMC7422722,Solanum lycopersicum,S2 S16,Ph Fig 1 2 Table S3 S7,,
https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6945444/ ,PMC6945444,citrus,Fig 5 S10 Table 1 S1 S3 S5,Table S10,,
