Volatile compounds,Plant,Table S2 Categorization of volatile substances in the skin and pulp of Chardonnay and Bud mutation ,
,,Ester,
"Acetic acid, butyl ester",Vitis vinifera,1,Chardonnay-pulp
"1,2-Benzenedicarboxylic acid, bis(2-methylpropyl) ester",Vitis vinifera,2,Chardonnay-pulp
Tetramethyl orthocarbonate,Vitis vinifera,3,Chardonnay-pulp
"2,4-Decadienoic acid, ethyl ester, (E,Z)-",Vitis vinifera,4,Chardonnay-pulp
"Isophthalic acid, di(2-isopropylphenyl) ester",Vitis vinifera,5,Chardonnay-pulp
"Oxalic acid, butyl propyl ester",Vitis vinifera,6,Chardonnay-pulp
4-Methylpentyl benzoate,Vitis vinifera,7,Chardonnay-pulp
"Cyanic acid, 1-methylethyl ester",Vitis vinifera,8,Chardonnay-pulp
"1-Butanol, 3-methyl-, benzoate",Vitis vinifera,9,Chardonnay-pulp
"Benzoic acid, 2-methylbutyl ester",Vitis vinifera,10,Chardonnay-pulp
Trimethylsilyl ethaneperoxoate,Vitis vinifera,11,Chardonnay-pulp
"1,1-Dimethyl-2-propenyl acetate",Vitis vinifera,12,Chardonnay-pulp
Trimethylsilyl ethaneperoxoate,Vitis vinifera,13,Chardonnay-pulp
"Acetic acid, chloro-, methyl ester",Vitis vinifera,14,Chardonnay-pulp
"4-Heptenoic acid, ethyl ester, (E)-",Vitis vinifera,15,Chardonnay-pulp
"1H-Pyrazole-1-butanoic acid, 3-amino-, methyl ester",Vitis vinifera,16,Chardonnay-pulp
"Acetic acid, (acetyloxy)-, ethyl ester",Vitis vinifera,17,Chardonnay-pulp
,Vitis vinifera,,Chardonnay-pulp
,Vitis vinifera,Alcohol,Chardonnay-pulp
"Propane, 2-methyl-1-nitro-",Vitis vinifera,1,Chardonnay-pulp
1-Octen-3-ol,Vitis vinifera,2,Chardonnay-pulp
"1-Butanol, 3-methyl-",Vitis vinifera,3,Chardonnay-pulp
1-Octanol,Vitis vinifera,4,Chardonnay-pulp
"Silanediol, dimethyl-",Vitis vinifera,5,Chardonnay-pulp
